run_id,experiment,dataset,depth,time_steps,condition,topology,neuron,seed,config_file,config_hash,config_file_sha256,matrix_key,protocol_hash
E1_cifar100_d20_t6_C1_s375760402,E1,cifar100,20,6,C1,spiking_resnet,lif,375760402,E1_cifar100_d20_t6_C1_s375760402.yaml,ed1209e2dad87e853f2b883435ac74428328de8d1baffd41dd799bae2cd2c46b,cdae82fd1a366a70dd46f9311413d72f93ddee8e4b1ff585cfefd5ad392769ec,"[""cifar100"",20,6,""C1"",375760402]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C2_s375760402,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,375760402,E1_cifar100_d20_t6_C2_s375760402.yaml,d4149629b82d503ecff6e0d56b7a24985ba1f7b42a3f9c9fa921f296723692ee,ba4e0764b1bdb226f7c05a67651c78b8143ece7b33b93ecd4c6076bd0e6c95c4,"[""cifar100"",20,6,""C2"",375760402]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C1_s595643067,E1,cifar100,20,6,C1,spiking_resnet,lif,595643067,E1_cifar100_d20_t6_C1_s595643067.yaml,608552bcd1fa522831af0ef92ecda8be677e1cf9016a4f2de0210c6e2222985f,edc3363f7b89497c72c951f4c41fa26652e818a5aaa68768ac21d1393fbe6c09,"[""cifar100"",20,6,""C1"",595643067]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C2_s595643067,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,595643067,E1_cifar100_d20_t6_C2_s595643067.yaml,62be90b140aa9a23f6f67d9dc518bd1cc29184cbb24253bca8c98c3e3c4a9fb2,b469ce47308263ca531ceadc5f3751dcdf418284c7339774a13771f4b78d3816,"[""cifar100"",20,6,""C2"",595643067]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C1_s671880744,E1,cifar100,20,6,C1,spiking_resnet,lif,671880744,E1_cifar100_d20_t6_C1_s671880744.yaml,b92f063e63773a43193fc68a780153052db51ba3c732ed719d7ee63d45a549cb,bcf0e9995bd04e05b44a2d3c24ac01cdd5042a3e9ad27c15c4345c2aa415b567,"[""cifar100"",20,6,""C1"",671880744]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C2_s671880744,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,671880744,E1_cifar100_d20_t6_C2_s671880744.yaml,8289009ff2ac1525453c162481b2000aeac76f38ca53705146da6b744dfcfae7,cec7c31d276df4d531abdfa4beffac8c110061272e53939c3387a137d080a07b,"[""cifar100"",20,6,""C2"",671880744]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C1_s1045910319,E1,cifar100,20,6,C1,spiking_resnet,lif,1045910319,E1_cifar100_d20_t6_C1_s1045910319.yaml,3d7e99d8429a5b285d219efc066d313cbe9db1f6850524227dc46eaf6848d1fa,a05d681097457cd241e82fdb2cf9fb66f052786ace75f39ac6411ed0f4b02a65,"[""cifar100"",20,6,""C1"",1045910319]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C2_s1045910319,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,1045910319,E1_cifar100_d20_t6_C2_s1045910319.yaml,b018cd6b71949e27cb2f39322eac4d374d071a33f84aaa54cf9dce69428d3fdb,752816257311234756b448f232594a990af076d84db065c1f81fb6b453e7ec52,"[""cifar100"",20,6,""C2"",1045910319]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C1_s615268440,E1,cifar100,20,6,C1,spiking_resnet,lif,615268440,E1_cifar100_d20_t6_C1_s615268440.yaml,33a7769a021dbc35e5a9dfccfb35f018196ada3173f9a269fab930702a0feab4,bd12ab1d4eac9f099d6dc914864969c430580c6359469a2809499d662ad586f5,"[""cifar100"",20,6,""C1"",615268440]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C2_s615268440,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,615268440,E1_cifar100_d20_t6_C2_s615268440.yaml,f92cc0b1e6e1af59f9a94b0638443b5226eb554df4f4cf337d99e970f41429a7,05cb4575d8617b17e8bc2faedbe5f3d61a90eed95e74b514dd6ef76a4d1b5b7c,"[""cifar100"",20,6,""C2"",615268440]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
